url,job_id,title,company,salary,job_type,location,experience_level,date_posted,skills,source_combo
https://www.maukerja.my/job/19894933-general-worker-pekerja-am-mcdonalds-pandu-lalu-petronas-jalan-reko,19894933,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,2 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/19894962-general-worker-pekerja-am-mcdonalds-pandu-lalu-kajang-impian,19894962,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,2 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559179-barista-mcdonalds-pandu-lalu-petronas-jalan-reko,1559179,Barista ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559180-kru-restaurant-mcdonalds-pandu-lalu-petronas-jalan-reko,1559180,Kru Restaurant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559181-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-jalan-reko,1559181,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1606366-kru-restaurant-mcdonalds-pandu-lalu-petronas-jalan-reko,1606366,Kru Restaurant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/2262503-barista-mcdonalds-pandu-lalu-kajang-impian,2262503,Barista ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Per Month",N/A,"Hulu Langat, Selangor","Up to MYR1,500 Per Month",4 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/2262504-kru-restaurant-mcdonalds-pandu-lalu-kajang-impian,2262504,Kru Restaurant ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Per Month",N/A,"Hulu Langat, Selangor","Up to MYR1,500 Per Month",4 years ago,Any Skill,part-time-hulu-langat
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-hulu-langat
https://www.maukerja.my/job/21952189-crew-member-full-time-dominos-pizza-hulu-langat,21952189,Crew Member (Full Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21842778-delivery-rider-full-time-dominos-pizza-hulu-langat,21842778,Delivery Rider (Full Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21950362-crew-member-part-time-dominos-pizza-hulu-langat,21950362,Crew Member (Part Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR8.72 Sejam,a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21950205-delivery-rider-part-time-dominos-pizza-hulu-langat,21950205,Delivery Rider (Part Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/24282395-graduate-employability-program-mcdonalds-pandu-lalu-petronas-jalan-reko,24282395,Graduate Employability Program ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/24282431-graduate-employability-program-mcdonalds-pandu-lalu-kajang-impian,24282431,Graduate Employability Program ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-hulu-langat
N/A,N/A,Part-time English Teacher,English Now Sdn Bhd,Undisclosed,Separuh Masa,Hulu Langat,Undisclosed,14 days ago,N/A,part-time-hulu-langat
https://www.maukerja.my/job/22955988-technical-assistant-mcdonalds-pandu-lalu-petronas-jalan-reko,22955988,Technical Assistant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/22956017-technical-assistant-mcdonalds-pandu-lalu-kajang-impian,22956017,Technical Assistant ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/19894933-general-worker-pekerja-am-mcdonalds-pandu-lalu-petronas-jalan-reko,19894933,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,2 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/19894962-general-worker-pekerja-am-mcdonalds-pandu-lalu-kajang-impian,19894962,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,2 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559179-barista-mcdonalds-pandu-lalu-petronas-jalan-reko,1559179,Barista ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559180-kru-restaurant-mcdonalds-pandu-lalu-petronas-jalan-reko,1559180,Kru Restaurant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559181-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-jalan-reko,1559181,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1606366-kru-restaurant-mcdonalds-pandu-lalu-petronas-jalan-reko,1606366,Kru Restaurant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/2262503-barista-mcdonalds-pandu-lalu-kajang-impian,2262503,Barista ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,500 Sebulan",4 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/2262504-kru-restaurant-mcdonalds-pandu-lalu-kajang-impian,2262504,Kru Restaurant ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,500 Sebulan",4 years ago,Any Skill,part-time-hulu-langat
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-hulu-langat
https://www.maukerja.my/job/21952189-crew-member-full-time-dominos-pizza-hulu-langat,21952189,Crew Member (Full Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21842778-delivery-rider-full-time-dominos-pizza-hulu-langat,21842778,Delivery Rider (Full Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21950362-crew-member-part-time-dominos-pizza-hulu-langat,21950362,Crew Member (Part Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR8.72 Sejam,a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21950205-delivery-rider-part-time-dominos-pizza-hulu-langat,21950205,Delivery Rider (Part Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/24282395-graduate-employability-program-mcdonalds-pandu-lalu-petronas-jalan-reko,24282395,Graduate Employability Program ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/24282431-graduate-employability-program-mcdonalds-pandu-lalu-kajang-impian,24282431,Graduate Employability Program ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-hulu-langat
N/A,N/A,Part-time English Teacher,English Now Sdn Bhd,Undisclosed,Separuh Masa,Hulu Langat,Undisclosed,14 days ago,N/A,part-time-hulu-langat
https://www.maukerja.my/job/22955988-technical-assistant-mcdonalds-pandu-lalu-petronas-jalan-reko,22955988,Technical Assistant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/22956017-technical-assistant-mcdonalds-pandu-lalu-kajang-impian,22956017,Technical Assistant ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/19894933-general-worker-pekerja-am-mcdonalds-pandu-lalu-petronas-jalan-reko,19894933,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,2 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/19894962-general-worker-pekerja-am-mcdonalds-pandu-lalu-kajang-impian,19894962,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,2 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559179-barista-mcdonalds-pandu-lalu-petronas-jalan-reko,1559179,Barista ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559180-kru-restaurant-mcdonalds-pandu-lalu-petronas-jalan-reko,1559180,Kru Restaurant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559181-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-jalan-reko,1559181,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1606366-kru-restaurant-mcdonalds-pandu-lalu-petronas-jalan-reko,1606366,Kru Restaurant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/2262503-barista-mcdonalds-pandu-lalu-kajang-impian,2262503,Barista ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,500 Sebulan",4 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/2262504-kru-restaurant-mcdonalds-pandu-lalu-kajang-impian,2262504,Kru Restaurant ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,500 Sebulan",4 years ago,Any Skill,part-time-hulu-langat
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-hulu-langat
https://www.maukerja.my/job/21952189-crew-member-full-time-dominos-pizza-hulu-langat,21952189,Crew Member (Full Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21842778-delivery-rider-full-time-dominos-pizza-hulu-langat,21842778,Delivery Rider (Full Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21950362-crew-member-part-time-dominos-pizza-hulu-langat,21950362,Crew Member (Part Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR8.72 Sejam,a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21950205-delivery-rider-part-time-dominos-pizza-hulu-langat,21950205,Delivery Rider (Part Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/24282395-graduate-employability-program-mcdonalds-pandu-lalu-petronas-jalan-reko,24282395,Graduate Employability Program ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/24282431-graduate-employability-program-mcdonalds-pandu-lalu-kajang-impian,24282431,Graduate Employability Program ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-hulu-langat
N/A,N/A,Part-time English Teacher,English Now Sdn Bhd,Undisclosed,Separuh Masa,Hulu Langat,Undisclosed,14 days ago,N/A,part-time-hulu-langat
https://www.maukerja.my/job/22955988-technical-assistant-mcdonalds-pandu-lalu-petronas-jalan-reko,22955988,Technical Assistant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/22956017-technical-assistant-mcdonalds-pandu-lalu-kajang-impian,22956017,Technical Assistant ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/19894933-general-worker-pekerja-am-mcdonalds-pandu-lalu-petronas-jalan-reko,19894933,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,2 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/19894962-general-worker-pekerja-am-mcdonalds-pandu-lalu-kajang-impian,19894962,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,2 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559179-barista-mcdonalds-pandu-lalu-petronas-jalan-reko,1559179,Barista ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559180-kru-restaurant-mcdonalds-pandu-lalu-petronas-jalan-reko,1559180,Kru Restaurant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559181-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-jalan-reko,1559181,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1606366-kru-restaurant-mcdonalds-pandu-lalu-petronas-jalan-reko,1606366,Kru Restaurant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/2262503-barista-mcdonalds-pandu-lalu-kajang-impian,2262503,Barista ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,500 Sebulan",4 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/2262504-kru-restaurant-mcdonalds-pandu-lalu-kajang-impian,2262504,Kru Restaurant ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,500 Sebulan",4 years ago,Any Skill,part-time-hulu-langat
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-hulu-langat
https://www.maukerja.my/job/21952189-crew-member-full-time-dominos-pizza-hulu-langat,21952189,Crew Member (Full Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21842778-delivery-rider-full-time-dominos-pizza-hulu-langat,21842778,Delivery Rider (Full Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21950362-crew-member-part-time-dominos-pizza-hulu-langat,21950362,Crew Member (Part Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR8.72 Sejam,a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21950205-delivery-rider-part-time-dominos-pizza-hulu-langat,21950205,Delivery Rider (Part Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/24282395-graduate-employability-program-mcdonalds-pandu-lalu-petronas-jalan-reko,24282395,Graduate Employability Program ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/24282431-graduate-employability-program-mcdonalds-pandu-lalu-kajang-impian,24282431,Graduate Employability Program ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Up to MYR12 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR12 Sejam,8 months ago,Any Skill,part-time-hulu-langat
N/A,N/A,Part-time English Teacher,English Now Sdn Bhd,Undisclosed,Separuh Masa,Hulu Langat,Undisclosed,14 days ago,N/A,part-time-hulu-langat
https://www.maukerja.my/job/22955988-technical-assistant-mcdonalds-pandu-lalu-petronas-jalan-reko,22955988,Technical Assistant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/22956017-technical-assistant-mcdonalds-pandu-lalu-kajang-impian,22956017,Technical Assistant ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a year ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/19894933-general-worker-pekerja-am-mcdonalds-pandu-lalu-petronas-jalan-reko,19894933,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,2 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/19894962-general-worker-pekerja-am-mcdonalds-pandu-lalu-kajang-impian,19894962,General Worker (Pekerja AM) ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,2 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559179-barista-mcdonalds-pandu-lalu-petronas-jalan-reko,1559179,Barista ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559180-kru-restaurant-mcdonalds-pandu-lalu-petronas-jalan-reko,1559180,Kru Restaurant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1559181-ejen-penghantar-makanan-mcdonalds-pandu-lalu-petronas-jalan-reko,1559181,Ejen Penghantar Makanan ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/1606366-kru-restaurant-mcdonalds-pandu-lalu-petronas-jalan-reko,1606366,Kru Restaurant ( McDonald's Pandu Lalu Petronas Jalan Reko ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),Undisclosed,N/A,"Hulu Langat, Selangor",Undisclosed,5 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/2262503-barista-mcdonalds-pandu-lalu-kajang-impian,2262503,Barista ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,500 Sebulan",4 years ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/2262504-kru-restaurant-mcdonalds-pandu-lalu-kajang-impian,2262504,Kru Restaurant ( McDonald's Pandu Lalu Kajang Impian ),McDonald's Malaysia (Gerbang Alaf Restaurants Sdn Bhd),"Up to MYR1,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,500 Sebulan",4 years ago,Any Skill,part-time-hulu-langat
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,part-time-hulu-langat
https://www.maukerja.my/job/21952189-crew-member-full-time-dominos-pizza-hulu-langat,21952189,Crew Member (Full Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR1,700 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR1,700 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21842778-delivery-rider-full-time-dominos-pizza-hulu-langat,21842778,Delivery Rider (Full Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,"Up to MYR2,500 Sebulan",N/A,"Hulu Langat, Selangor","Up to MYR2,500 Sebulan",a month ago,Any Skill,part-time-hulu-langat
https://www.maukerja.my/job/21950362-crew-member-part-time-dominos-pizza-hulu-langat,21950362,Crew Member (Part Time) ( Domino's Pizza Hulu Langat ),Domino's Pizza,Up to MYR8.72 Sejam,N/A,"Hulu Langat, Selangor",Up to MYR8.72 Sejam,a month ago,Any Skill,part-time-hulu-langat
